"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"
"NA/19/2020/9000/30"	"1"	"NA/19/2020/9000/30-1"	"3050"	2020-01-09T08:31:00Z	61.0671	-1.033	NA
"NA/19/2020/9000/30"	"2"	"NA/19/2020/9000/30-2"	"3050"	2020-01-05T12:15:00Z	60.8501	-1.783	NA
"NA/19/2020/9000/30"	"3"	"NA/19/2020/9000/30-3"	"9862"	2020-01-16T14:50:00Z	60.9	-0.383001	NA
"NA/19/2020/9000/30"	"4"	"NA/19/2020/9000/30-4"	"9862"	2020-01-16T10:13:00Z	61.0171	0	NA
"NA/19/2020/9000/30"	"31"	"NA/19/2020/9000/30-31"	"3224"	2020-01-09T19:13:00Z	61.117	-0.883001	NA
"NA/19/2020/9000/30"	"32"	"NA/19/2020/9000/30-32"	"3823"	2020-10-02T10:48:00Z	62.367	5.58301	NA
"NA/19/2020/9000/30"	"33"	"NA/19/2020/9000/30-33"	"4135"	2020-10-08T16:00:00Z	59.0171	-0.767001	NA
"NA/19/2020/9000/30"	"34"	"NA/19/2020/9000/30-34"	"4135"	2020-10-02T09:13:00Z	58.467	-0.517001	NA
"NA/19/2020/9000/30"	"35"	"NA/19/2020/9000/30-35"	"3921"	2020-10-14T16:15:00Z	59.1331	-0.7	NA
"NA/19/2020/9000/30"	"36"	"NA/19/2020/9000/30-36"	"3674"	2020-10-04T15:43:00Z	58.3171	0.933001	NA
"NA/19/2020/9000/30"	"45"	"NA/19/2020/9000/30-45"	"9125"	2020-10-28T10:37:00Z	60.117	-0.283	NA
"NA/19/2020/9000/30"	"47"	"NA/19/2020/9000/30-47"	"3672"	2020-10-12T16:52:00Z	59.3171	-1.033	NA
"NA/19/2020/9000/30"	"48"	"NA/19/2020/9000/30-48"	"2889"	2020-10-17T10:50:00Z	58.483	-0.733	NA
"NA/19/2020/9000/30"	"49"	"NA/19/2020/9000/30-49"	"9539"	2020-10-19T13:22:00Z	58.717	0.0170001	NA
"NA/19/2020/9000/30"	"50"	"NA/19/2020/9000/30-50"	"4606"	2020-10-12T16:35:00Z	59.233	-0.15	NA
"NA/19/2020/9000/30"	"51"	"NA/19/2020/9000/30-51"	"4613"	2020-10-04T15:51:00Z	58.3171	0.933001	NA
"NA/19/2020/9000/30"	"52"	"NA/19/2020/9000/30-52"	"4158"	2020-10-20T16:02:00Z	58.933	0.3	NA
"NA/19/2020/9000/30"	"53"	"NA/19/2020/9000/30-53"	"3674"	2020-09-27T17:21:00Z	59.65	-0.667001	NA
"NA/19/2020/9000/30"	"54"	"NA/19/2020/9000/30-54"	"9103"	2020-10-17T09:12:00Z	58.5171	-0.733	NA
"NA/19/2020/9000/30"	"55"	"NA/19/2020/9000/30-55"	"3307"	2020-11-04T16:19:00Z	59.65	-0.667	NA
"NA/19/2020/9000/30"	"56"	"NA/19/2020/9000/30-56"	"9117"	2020-10-12T10:35:00Z	59.217	-0.267001	NA
"NA/19/2020/9000/30"	"57"	"NA/19/2020/9000/30-57"	"9539"	2020-10-15T05:58:00Z	58.967	-0.85	NA
"NA/19/2020/9000/30"	"58"	"NA/19/2020/9000/30-58"	"9819"	2020-10-20T15:20:00Z	58.9501	0.267001	NA
"NA/19/2020/9000/30"	"59"	"NA/19/2020/9000/30-59"	"2773"	2020-10-15T14:37:00Z	58.8831	-0.783001	NA
"NA/19/2020/9000/30"	"60"	"NA/19/2020/9000/30-60"	"4159"	2020-10-14T14:59:00Z	59.117	-0.650001	NA
"NA/19/2020/9000/30"	"61"	"NA/19/2020/9000/30-61"	"3823"	2020-10-08T22:23:00Z	61.25	4.53301	NA
"NA/19/2020/9000/30"	"62"	"NA/19/2020/9000/30-62"	"2886"	2020-10-16T12:43:00Z	58.6671	-0.817	NA
"NA/19/2020/9000/30"	"63"	"NA/19/2020/9000/30-63"	"3674"	2020-10-27T20:20:00Z	58.683	-0.283	NA
"NA/19/2020/9000/30"	"64"	"NA/19/2020/9000/30-64"	"4613"	2020-10-16T14:36:00Z	58.6331	-0.800001	NA
"NA/19/2020/9000/30"	"65"	"NA/19/2020/9000/30-65"	"4606"	2020-10-17T16:36:00Z	58.25	-0.5	NA
"NA/19/2020/9000/30"	"66"	"NA/19/2020/9000/30-66"	"4606"	2020-09-29T15:47:00Z	59.25	-0.05	NA
